OBJECTID,CRECID,OS12FIG,EASTING,NORTHING,TRUNK_NON,POSSDUPLIC,DEERSPP,INCCOUNTRY,INCCOUNTY,INCMONTH,INCROADNO,INCYEAR,PEOPLEINJY,PERSTITLE,REALINCDAT,YEARSPAN,OID_T
5169,12827372.000000,253376658162,253376.000000,658162.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,16/07/2012,,3904.00000000
2326,12805164.000000,253611658459,253611.000000,658459.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,13/05/2009,,842.00000000
3950,12827384.000000,253618658518,253618.000000,658518.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,07/08/2012,,3596.00000000
1680,12751479.000000,253675658976,253675.000000,658976.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,10/07/2007,,2796.00000000
5909,12827715.000000,254029659056,254029.000000,659056.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,10/09/2012,,3271.00000000
1705,12807405.000000,253611659192,253611.000000,659192.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,26/05/2009,,683.00000000
5430,12824428.000000,253632659261,253632.000000,659261.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,16/08/2011,,4776.00000000
4026,12814211.000000,253644659268,253644.000000,659268.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,25/07/2010,,5196.00000000
10231,12827402.000000,253629659308,253629.000000,659308.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,21/09/2012,,7579.00000000
1804,12749503.000000,251620659516,251620.000000,659516.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B773,2007.000000,0.000000,,25/01/2007,,2203.00000000
12753,12749627.000000,251620659516,251620.000000,659516.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B773,2006.000000,0.000000,,22/05/2006,,9035.00000000
12184,12827243.000000,253796659679,253796.000000,659679.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,24/04/2012,,6462.00000000
1803,12729471.000000,251900659700,251900.000000,659700.000000,,0.000000,Roe,,GLASGOW_CITY,0.000000,B773,2007.000000,0.000000,,25/01/2007,,2202.00000000
10258,12827710.000000,252943659838,252943.000000,659838.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,16/01/2012,,7606.00000000
4283,12814192.000000,253875659873,253875.000000,659873.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,12/06/2010,,6009.00000000
3701,12824431.000000,253889659926,253889.000000,659926.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,23/05/2011,,5983.00000000
3705,12824432.000000,253904659935,253904.000000,659935.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,22/05/2011,,5987.00000000
4072,12827255.000000,253893660314,253893.000000,660314.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,01/05/2012,,6201.00000000
10187,12827739.000000,259350660332,259350.000000,660332.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,26/03/2012,,6773.00000000
10622,12814143.000000,253858660387,253858.000000,660387.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,17/05/2010,,6899.00000000
1735,12755423.000000,253817660495,253817.000000,660495.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2008.000000,0.000000,,20/11/2008,,1421.00000000
4191,12827354.000000,253760660560,253760.000000,660560.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,18/06/2012,,4450.00000000
11982,12827718.000000,254609660591,254609.000000,660591.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,12/12/2012,,6416.00000000
4703,12825461.000000,253664660727,253664.000000,660727.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,14/05/2011,,6276.00000000
1213,12751392.000000,253615660869,253615.000000,660869.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,03/04/2007,,2070.00000000
4092,12824427.000000,253618660933,253618.000000,660933.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,20/05/2011,,6221.00000000
116,12749170.000000,251433660996,251433.000000,660996.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A726,2008.000000,0.000000,,13/05/2008,,1021.00000000
751,12755440.000000,253647661148,253647.000000,661148.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,07/02/2009,,1200.00000000
4093,12824429.000000,253648661150,253648.000000,661150.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,20/05/2011,,6222.00000000
12176,12827244.000000,253664661181,253664.000000,661181.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,25/04/2012,,6454.00000000
6216,12814427.000000,254787661194,254787.000000,661194.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B762,2010.000000,0.000000,,01/01/2010,,4954.00000000
6681,12749522.000000,254038661195,254038.000000,661195.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B762,2006.000000,0.000000,,15/12/2006,,11573.00000000
11834,12814430.000000,255545661199,255545.000000,661199.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B762,2010.000000,0.000000,,07/05/2010,,7182.00000000
1214,12751391.000000,253655661206,253655.000000,661206.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,03/04/2007,,2071.00000000
12177,12827245.000000,253728661242,253728.000000,661242.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,25/04/2012,,6455.00000000
5121,12749460.000000,253658661278,253658.000000,661278.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,01/05/2007,,3093.00000000
5942,12827725.000000,255799661290,255799.000000,661290.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,26/08/2012,,3304.00000000
1187,12749465.000000,253721661295,253721.000000,661295.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,22/04/2007,,2044.00000000
10621,12814141.000000,253743661337,253743.000000,661337.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,17/05/2010,,6898.00000000
5051,12814204.000000,253804661391,253804.000000,661391.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,09/07/2010,,5460.00000000
5129,12751411.000000,253891661400,253891.000000,661400.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2007.000000,0.000000,,01/05/2007,,3101.00000000
5397,12827341.000000,253872661531,253872.000000,661531.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,07/06/2012,,4743.00000000
3229,12827324.000000,253922661635,253922.000000,661635.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,02/06/2012,,5007.00000000
3498,12824434.000000,253929661650,253929.000000,661650.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,29/05/2011,,5932.00000000
5712,12805175.000000,253933661690,253933.000000,661690.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,13/03/2010,,3227.00000000
5713,12805174.000000,253936661704,253936.000000,661704.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,13/03/2010,,3228.00000000
4094,12824433.000000,253922661713,253922.000000,661713.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,20/05/2011,,6223.00000000
2873,12755456.000000,253944661750,253944.000000,661750.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,15/03/2009,,227.00000000
270,12805170.000000,253932661754,253932.000000,661754.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,27/07/2009,,321.00000000
2216,12751546.000000,253946661757,253946.000000,661757.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2008.000000,0.000000,,06/03/2008,,2311.00000000
4192,12827353.000000,253958661892,253958.000000,661892.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,18/06/2012,,4451.00000000
1703,12805166.000000,253968661951,253968.000000,661951.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,27/05/2009,,681.00000000
340,12749189.000000,256225661962,256225.000000,661962.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,B769,2008.000000,0.000000,,28/04/2008,,1093.00000000
4519,12827779.000000,267638662052,267638.000000,662052.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,01/05/2012,,6194.00000000
9701,41885.000000,254000662100,254000.000000,662100.000000,,0.000000,Red,,GLASGOW_CITY,0.000000,m77,2004.000000,0.000000,,02/07/2004,,8291.00000000
5915,12827400.000000,266397662197,266397.000000,662197.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,08/09/2012,,3277.00000000
2431,12751540.000000,266115662203,266115.000000,662203.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2008.000000,0.000000,,12/02/2008,,2374.00000000
3928,12827388.000000,266736662220,266736.000000,662220.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,10/08/2012,,3574.00000000
10029,12827410.000000,266559662224,266559.000000,662224.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,08/10/2012,,7533.00000000
11861,12805158.000000,266840662235,266840.000000,662235.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2010.000000,0.000000,,03/05/2010,,7209.00000000
5481,12827289.000000,267806662260,267806.000000,662260.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,19/05/2012,,5584.00000000
5480,12827292.000000,254056662274,254056.000000,662274.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,19/05/2012,,5583.00000000
5083,12751421.000000,264610662298,264610.000000,662298.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2007.000000,0.000000,,08/05/2007,,3055.00000000
9807,12805157.000000,267563662298,267563.000000,662298.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2010.000000,0.000000,,19/04/2010,,7467.00000000
1215,12751390.000000,264288662304,264288.000000,662304.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2007.000000,0.000000,,03/04/2007,,2072.00000000
4073,12827253.000000,267628662308,267628.000000,662308.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,01/05/2012,,6202.00000000
9991,12827231.000000,264777662309,264777.000000,662309.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,10/04/2012,,6734.00000000
10378,12824464.000000,267240662316,267240.000000,662316.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2011.000000,0.000000,,26/04/2011,,6810.00000000
4495,12827260.000000,265319662348,265319.000000,662348.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M74,2012.000000,0.000000,,04/05/2012,,6170.00000000
1900,12805165.000000,254374662594,254374.000000,662594.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,23/05/2009,,724.00000000
10601,12814146.000000,254531662652,254531.000000,662652.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2010.000000,0.000000,,19/05/2010,,6878.00000000
3979,12805171.000000,254568662667,254568.000000,662667.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,10/08/2009,,4390.00000000
3153,12825469.000000,255991662670,255991.000000,662670.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2011.000000,0.000000,,11/01/2011,,3407.00000000
1766,12755421.000000,254694662741,254694.000000,662741.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2008.000000,0.000000,,15/11/2008,,1452.00000000
3222,12827328.000000,254678662747,254678.000000,662747.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,03/06/2012,,5000.00000000
5112,12749457.000000,266147662836,266147.000000,662836.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,U,2007.000000,0.000000,,03/05/2007,,3084.00000000
5113,12749458.000000,267021662867,267021.000000,662867.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A74,2007.000000,0.000000,,03/05/2007,,3085.00000000
5777,12805173.000000,255095663079,255095.000000,663079.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,02/10/2009,,4056.00000000
4113,12824435.000000,255234663122,255234.000000,663122.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2011.000000,0.000000,,18/05/2011,,6242.00000000
3245,12827322.000000,255488663185,255488.000000,663185.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,31/05/2012,,5023.00000000
4971,12827374.000000,255681663304,255681.000000,663304.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2012.000000,0.000000,,27/07/2012,,3859.00000000
5659,12827284.000000,269066663446,269066.000000,663446.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,16/05/2012,,5609.00000000
3920,12827393.000000,269083663562,269083.000000,663562.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,12/08/2012,,3566.00000000
5517,12825488.000000,262641663569,262641.000000,663569.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2011.000000,0.000000,,14/01/2011,,3183.00000000
1482,12805168.000000,256000663572,256000.000000,663572.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M77,2009.000000,0.000000,,02/06/2009,,615.00000000
5186,12805216.000000,269108663763,269108.000000,663763.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2010.000000,0.000000,,14/01/2010,,4685.00000000
12200,12827239.000000,269114663808,269114.000000,663808.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,20/04/2012,,6478.00000000
3921,12827394.000000,269119663871,269119.000000,663871.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,12/08/2012,,3567.00000000
9997,12827228.000000,269282663877,269282.000000,663877.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,08/04/2012,,6740.00000000
2137,12805201.000000,269119663929,269119.000000,663929.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,15/05/2009,,807.00000000
5482,12827288.000000,269615663955,269615.000000,663955.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,19/05/2012,,5585.00000000
6263,12804690.000000,269591663956,269591.000000,663956.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2010.000000,0.000000,,18/06/2010,,5756.00000000
1044,12751488.000000,269118663964,269118.000000,663964.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2007.000000,0.000000,,12/08/2007,,2724.00000000
10251,12827787.000000,269589663990,269589.000000,663990.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,18/01/2012,,7599.00000000
5647,12827285.000000,269177663991,269177.000000,663991.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2012.000000,0.000000,,17/05/2012,,5597.00000000
4076,12827781.000000,268273663994,268273.000000,663994.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,,2012.000000,0.000000,,30/04/2012,,6205.00000000
4075,12827254.000000,269514664009,269514.000000,664009.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,01/05/2012,,6204.00000000
2350,12751694.000000,269208664015,269208.000000,664015.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M73,2008.000000,0.000000,,01/10/2008,,1577.00000000
11600,12804668.000000,269505664029,269505.000000,664029.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2010.000000,0.000000,,29/05/2010,,6345.00000000
1484,12805207.000000,269109664052,269109.000000,664052.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,02/06/2009,,617.00000000
5067,12804700.000000,269479664062,269479.000000,664062.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2010.000000,0.000000,,05/07/2010,,5476.00000000
4721,12804676.000000,269472664069,269472.000000,664069.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2010.000000,0.000000,,04/06/2010,,6294.00000000
2970,12751654.000000,269428664071,269428.000000,664071.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2008.000000,0.000000,,23/07/2008,,1742.00000000
3839,12814219.000000,269367664112,269367.000000,664112.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2010.000000,0.000000,,04/08/2010,,5161.00000000
6039,12814597.000000,269085664120,269085.000000,664120.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2010.000000,0.000000,,07/01/2010,,4928.00000000
2537,12805199.000000,269371664125,269371.000000,664125.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,09/05/2009,,901.00000000
2969,12751656.000000,268583664131,268583.000000,664131.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2008.000000,0.000000,,23/07/2008,,1741.00000000
433,12751496.000000,269291664157,269291.000000,664157.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2007.000000,0.000000,,26/09/2007,,2672.00000000
3877,12805114.000000,268814664164,268814.000000,664164.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2009.000000,0.000000,,12/10/2009,,6107.00000000
2039,12805197.000000,269289664164,269289.000000,664164.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,06/05/2009,,1.00000000
2653,12755466.000000,269269664176,269269.000000,664176.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8,2009.000000,0.000000,,12/04/2009,,158.00000000
12638,12824484.000000,269267664177,269267.000000,664177.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2012.000000,0.000000,,25/01/2012,,7367.00000000
2354,12751693.000000,268822664180,268822.000000,664180.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2008.000000,0.000000,,28/09/2008,,1581.00000000
4294,12814189.000000,269275664189,269275.000000,664189.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,M8W,2010.000000,0.000000,,11/06/2010,,6020.00000000
1243,12749411.000000,268371664196,268371.000000,664196.000000,,0.000000,DeSppNK,,GLASGOW_CITY,0.000000,A8,2007.000000,0.000000,,10/06/2007,,2871.00000000
